Acute Myocardial Infarction,"(AMI) infarction of the myocarium usually due to obstructed coronary artery."
Osteoarthritis,Osteoarthritis is a type of arthritis that is caused by the breakdown and eventual loss of the cartilage of one or more joints. Cartilage is a protein substance that serves as a "cushion" between the bones of the joints. Osteoarthritis is also known as degenerative arthritis.Commonly affects the hands feet spine and large weight-bearing joints such as the hips and knees. Primary osteoarthritis is mostly related to aging. With aging the water content of the cartilage increases and the protein makeup of cartilage degenerates. Repetitive use of the joints over the years irritates and inflames the cartilage causing joint pain and swelling. Eventually cartilage begins to degenerate by flaking or forming tiny crevasses. In advanced cases there is a total loss of the cartilage cushion between the bones of the joints. Loss of cartilage cushion causes friction between the bones leading to pain and limitation of joint mobility. Inflammation of the cartilage can also stimulate new bone outgrowths (spurs) to form around the joints.
Paralytic Ileus,No movement thru bowels. Can be caused by trauma or certain drugs (morphine)
Parkinson's Syndrome,"Chronic nervous disease slowly spreading tremor muscular weakness & rigidity peculiar gait."
Pathologic Fracture,"Fracture without trauma often in elderly"
Pelvic Inflammatory Disease,(PID) is an STD... which causes inflammation and infection of a woman's reproductive organs and other structures if left untreated
Peptic Ulcer,Occurs in lower end of esophagus or in stomach... gnawing pain
Peritonitis,Irritation of the peritoneum due to infection or blood.
Pickwickian Syndrome,"Pts are so obese they have respitory failure. Usually weigh over 450 lbs. sleep sitting up, always tired because CO2 is retained & is a depressant. Almost always smoke burns on them from falling asleep with cigarettes."
Postpericardiotomy Syndrome,"See "Dressler Syndrome" Postpericardiotomy syndrome (PPS) is a febrile illness secondary to an inflammatory reaction involving the pleura and pericardium. It is more common in patients who have undergone surgery that involves opening the pericardium. However postpericardiotomy syndrome has also been described following myocardial infarction (Dressler syndrome) and as an unusual complication after percutaneous procedures such as coronary stent implantation after implantation of epicardial pacemaker leads and transvenous pacemaker leads and following blunt trauma stab wounds and heart puncture.
Pulmonary Edema,Fluid in lungs due to left heart failure sometimes seen in right failure
Raynauds,"Can't tolerate cold poor circulation to hands & feet. (pronounced ray-noze)"
Reye's Syndrome,Illness of uncertain etiology that results in alterations of mental function in children. Often associated with viral infections and use of ASA. Why you should be wary of giving ASA to a ped with flu-like symptoms. This sometimes will result in death.
Rheumatoid arthritis,Rheumatoid arthritis is an autoimmune disease that causes chronic inflammation of the joints. Rheumatoid arthritis can also cause inflammation of the tissue around the joints as well as other organs in the body. Autoimmune diseases are illnesses that occur when the body tissues are mistakenly attacked by it's own immune system. The immune system is a complex organization of cells and antibodies designed normally to "seek and destroy" invaders of the body particularly infections. Patients with autoimmune diseases have antibodies in their blood that target their own body tissues where they can be associated with inflammation. Because it can affect multiple other organs of the body rheumatoid arthritis is referred to as a systemic illness and is sometimes called rheumatoid disease."
Steven-Johnson Syndrome,Skin falls off (desquamation) due to an untoward drug effect. An "allergic-like" reaction. The only dermatological emergency. Palmar/plantar desquamation continues to the entire body becoming 20 type burns"
Stokes-Adams Syndrome,Syncope due to cardiac origin
Supine Hypotensive Syndrome,"Caused by the uterus crushing the inferior vena cava these pt should be placed on left side."
Thrush,White cottage cheese appearing growth found in the mouth of pts due to antibiotics or immineuosuppression
Uremia,Toxic retention of urine
Wolf-Parkinson-White Syndrome,(WPW) caused by an accessory pathway called the bundle of Kent that allows the electrical impulse from the atria to bypass the AV node & excite the ventricles sooner. Characterized by short PRI & Delta waves
